name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
東急ドエルアルス桜坂,6199,福岡県福岡市中央区桜坂１-15-13,地下鉄七隈線「桜坂」徒歩6分,84.11,3LDK+S（納戸）,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20636452/,桜坂,地下鉄七隈線,6,1996-03-01,30,20636452
アクセス天神Ⅱ,6280,福岡県福岡市中央区今泉１,西鉄天神大牟田線「薬院」徒歩5分,70.3,3LDK,2001年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21127150/,薬院,西鉄天神大牟田線,5,2001-07-01,25,21127150
シティハウス室見ステーションコート,6480,福岡県福岡市早良区室見１,地下鉄空港線「藤崎」徒歩9分,66.12,3LDK,2018年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21411020/,藤崎,地下鉄空港線,9,2018-01-01,8,21411020
大濠公園グランドヒルズ,6680,福岡県福岡市中央区荒戸２-3-49,地下鉄空港線「大濠公園」徒歩4分,79.08,2LDK+S（納戸）,1990年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20268504/,大濠公園,地下鉄空港線,4,1990-09-01,36,20268504
サーパス城南,6699,福岡県福岡市城南区田島１-4-17,地下鉄七隈線「別府」徒歩14分,94.85,4LDK,2006年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20943175/,別府,地下鉄七隈線,14,2006-11-01,20,20943175
アメックス博多ベルテックステージ,6890,福岡県福岡市博多区下川端町10-16,地下鉄空港線「中洲川端」徒歩5分,53.59,1LDK+S（納戸）,2010年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21470877/,中洲川端,地下鉄空港線,5,2010-01-01,16,21470877
グランフォーレ西公園ルネッサンス,6899,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩5分,75.65,3LDK,2007年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20579461/,大濠公園,地下鉄空港線,5,2007-11-01,19,20579461
デュ・レジア薬院テラス,6980,福岡県福岡市中央区高砂２,地下鉄七隈線「薬院」徒歩11分,63.0,2LDK,2022年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79108337/,薬院,地下鉄七隈線,11,2022-03-01,4,79108337
コスモ六本松シティフォルム,7199,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩5分,70.58,3LDK,2000年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20597892/,六本松,地下鉄七隈線,5,2000-02-01,26,20597892
クリオラベルヴィ西新グランクラス,7200,福岡県福岡市早良区西新１,地下鉄空港線「西新」徒歩1分,52.2,2LDK,2025年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21358535/,西新,地下鉄空港線,1,2025-08-01,1,21358535
クリオラベルヴィ西新グランクラス,7200,福岡県福岡市早良区西新１,地下鉄空港線「西新」徒歩1分,52.2,2LDK,2025年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21320121/,西新,地下鉄空港線,1,2025-08-01,1,21320121
サークコート大濠公園駅,7280,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩3分,77.35,4LDK,2001年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21325473/,大濠公園,地下鉄空港線,3,2001-02-01,25,21325473
Asobi＋　アーティックス大濠,7490,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩12分,85.8,3LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20929098/,六本松,地下鉄七隈線,12,2004-02-01,22,20929098
ネオグランデ赤坂,7680,福岡県福岡市中央区赤坂２,地下鉄空港線「赤坂」徒歩9分,82.15,3LDK,2001年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20897260/,赤坂,地下鉄空港線,9,2001-03-01,25,20897260
アメックス大手門ツインビュー,7980,福岡県福岡市中央区大手門２,地下鉄空港線「赤坂」徒歩8分,86.54,3LDK,2005年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21128467/,赤坂,地下鉄空港線,8,2005-02-01,21,21128467
パレスト・リッツガーデン百道,7980,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩9分,81.21,3LDK,2017年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21032451/,藤崎,地下鉄空港線,9,2017-04-01,9,21032451
モントーレ舞鶴ベイレジデンス,7990,福岡県福岡市中央区港１-9-26,地下鉄空港線「大濠公園」徒歩11分,76.25,3LDK,2019年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21273621/,大濠公園,地下鉄空港線,11,2019-06-01,7,21273621
ダイアパレス赤坂けやき通り,8299,福岡県福岡市中央区赤坂３,地下鉄空港線「赤坂」徒歩11分,78.63,3LDK,2000年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21373737/,赤坂,地下鉄空港線,11,2000-09-01,26,21373737
百道タワー,8780,福岡県福岡市早良区百道浜１,地下鉄空港線「西新」徒歩10分,81.73,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79098275/,西新,地下鉄空港線,10,2004-02-01,22,79098275
ザ・パークハウス福岡タワーズ　EAST,8780,福岡県福岡市中央区地行浜２,地下鉄空港線「唐人町」徒歩12分,82.52,2LDK,2020年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20595838/,唐人町,地下鉄空港線,12,2020-12-01,6,20595838
ザ・パークハウス福岡タワーズWEST,8820,福岡県福岡市中央区地行浜２,地下鉄空港線「唐人町」徒歩12分,61.74,2LDK,2019年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21184932/,唐人町,地下鉄空港線,12,2019-12-01,7,21184932
グランドメゾン大濠ブルクレール,9280,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩9分,85.42,3LDK,2006年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79094486/,六本松,地下鉄七隈線,9,2006-03-01,20,79094486
パークコート赤坂ヒルトップレジデンス,9880,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩9分,88.76,3LDK,2010年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78598929/,桜坂,地下鉄七隈線,9,2010-02-01,16,78598929
アクタス大手門パークシティ,9980,福岡県福岡市中央区大手門１,地下鉄空港線「赤坂」徒歩6分,93.92,3LDK,2005年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77427348/,赤坂,地下鉄空港線,6,2005-02-01,21,77427348
サークコート大濠公園駅,12000,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩3分,100.78,4LDK,2001年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21175402/,大濠公園,地下鉄空港線,3,2001-02-01,25,21175402
